"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Rui Hachimura","Lal","F","27","36","32.1","15.4","9.3","69","0.768","211","0.54","129","0.411","0.569","0.594","12.2","5.2","1.5","0.9","0.5","1","17.4","13.8","19","5.7","118","113.4"
"","Brook Lopez","Mil","C","36.8","41","31.9","15.3","9.9","58","0.776","182","0.621","207","0.372","0.587","0.606","12.2","4.9","1.7","0.8","1.9","1","17.1","14","18.8","5.9","117.3","108.5"
"","Terry Rozier","Mia","G","30.9","38","28.5","20.5","12.3","69","0.913","216","0.505","197","0.294","0.475","0.513","12","4","2.9","0.6","0.3","1.5","16","14.9","18.9","7.3","102.7","111.8"
"","Jaylen Wells","Mem","F","21.4","44","26.2","17.3","10.1","82","0.829","189","0.503","227","0.388","0.546","0.577","11.9","3.3","1.6","0.5","0.1","1.1","15.2","13.5","16.8","6.1","116","110.1"
"","Keegan Murray","Sac","F","24.4","40","35.5","14.7","7.3","43","0.837","205","0.546","229","0.314","0.507","0.525","11.9","7.2","1.4","0.8","0.9","0.9","19.1","13.3","20.4","5.6","111.3","109.6"
"","Jabari Smith Jr.","Hou","F","21.7","33","30.9","15.1","9","75","0.867","155","0.516","158","0.354","0.524","0.568","11.9","6.5","1","0.4","1","0.9","18.5","12.9","19.5","5.5","119.1","105.8"
"","Isaiah Hartenstein","Okc","C-F","26.7","24","29.8","17.3","18.4","62","0.677","202","0.589","11","0","0.559","0.583","11.7","12.2","4.1","0.9","1.3","2","23.8","15.8","28","11.2","118.3","93.3"
"","Stephon Castle","San","G","20.2","40","25.2","23.2","15.2","129","0.713","263","0.487","151","0.258","0.45","0.494","11.6","2.5","3.6","0.8","0.3","1.9","14.2","15.2","17.7","7.5","100.8","112.4"
"","Alexandre Sarr","Was","C","19.7","38","27","20.6","11.9","84","0.643","240","0.463","176","0.313","0.465","0.487","11.6","6.7","2.2","0.7","1.6","1.5","18.3","13.8","20.5","8.2","100.2","113.9"
"","Tari Eason","Hou","F","23.7","28","22.9","19.9","8.5","67","0.746","174","0.546","84","0.333","0.531","0.564","11.6","6.2","1.1","2.1","0.9","0.9","17.8","12.7","18.9","7.5","119.4","97.1"
"","Corey Kispert","Was","F","25.9","37","26.9","17.2","9.5","51","0.843","144","0.576","207","0.353","0.548","0.573","11.6","3","1.7","0.5","0.2","1","14.6","13.2","16.3","5.8","110.9","120.8"
"","Jonas Valanciunas","Was","C","32.7","42","19.7","23.9","17.4","90","0.889","337","0.585","23","0.217","0.568","0.612","11.6","8.2","2.2","0.5","0.7","1.8","19.8","13.9","22","12.1","115.5","109.7"
"","Jrue Holiday","Bos","G","34.6","37","30.6","16.1","12.6","55","0.891","155","0.581","192","0.349","0.549","0.579","11.6","4.4","3.8","1","0.4","1.4","16","15.4","19.8","7.6","120.6","109.5"
"","Onyeka Okongwu","Atl","F-C","24.1","36","24.2","17.2","9.1","94","0.755","242","0.62","56","0.25","0.574","0.608","11.5","7.7","1.8","0.7","0.9","0.8","19.1","13.3","20.9","9","127.5","107.7"
"","Josh Giddey","Chi","G","22.3","40","28.2","19.9","21.4","80","0.75","251","0.506","145","0.324","0.499","0.528","11.4","7.3","6.7","1.1","0.5","2.7","18.7","18.1","25.4","11.7","108.8","112.3"
"","Walker Kessler","Uta","C","23.5","34","29.8","13.1","17.1","94","0.543","223","0.731","5","0.4","0.728","0.711","11.3","11.5","1.5","0.4","2.4","1.4","22.7","12.8","24.3","7.8","134.2","112.5"
"","Julian Champagnie","San","F","23.6","41","26.7","17.4","9.9","49","0.898","101","0.564","280","0.364","0.551","0.576","11.3","4.4","1.3","0.7","0.5","1","15.7","12.6","17","6","110.2","112.2"
"","Tyus Jones","Pho","G","28.7","42","29.9","15.7","12.7","36","0.861","170","0.541","206","0.417","0.588","0.604","11.3","2.5","6.2","1","0.1","1.3","13.7","17.4","19.9","7.5","126","118.8"
"","Tim Hardaway Jr.","Det","G-F","32.9","40","28.3","15.3","7.8","84","0.821","115","0.504","227","0.379","0.547","0.584","11.1","2.2","1.5","0.5","0","0.7","13.2","12.6","14.8","4.7","117.4","115.4"
"","Harrison Barnes","San","F","32.7","41","28.1","14.5","7.1","115","0.809","168","0.548","148","0.405","0.576","0.623","11.1","3.8","1.7","0.3","0.2","0.6","15","12.9","16.7","5.9","129.3","117"
"","Nick Richards","Pho","C","27.2","3","24.4","15.6","23.4","11","0.818","16","0.75","0","0","0.75","0.792","11","10","0.7","0.3","0.7","1.7","21","11.7","21.7","7","135.7","100.5"
"","Naji Marshall","Dal","F","27","34","24.7","18.7","14.5","54","0.87","198","0.596","96","0.313","0.554","0.587","11","3.6","2.6","1","0.1","1.5","14.6","13.5","17.1","7.6","113.6","111"
"","Duncan Robinson","Mia","F","30.8","40","23.5","19.8","10","28","0.893","106","0.528","262","0.385","0.564","0.578","11","2.4","2.7","0.5","0.1","1","13.4","13.7","16.1","7.1","112.8","108.7"
"","Donte DiVincenzo","Min","G","28","40","26.4","19.3","15.8","50","0.82","95","0.474","279","0.369","0.533","0.556","11","3.7","3.6","1.2","0.2","1.8","14.7","14.6","18.3","8","109.2","108.3"
"","Grayson Allen","Pho","G","29.3","34","24.3","17.4","12.1","67","0.851","69","0.507","191","0.429","0.608","0.644","11","3.1","1.9","0.9","0.3","1.1","14.1","12.9","16","6.6","120.8","114.6"
"","Jordan Hawkins","Nor","G","22.7","28","22.7","21.9","8.2","57","0.825","114","0.404","166","0.331","0.459","0.498","10.9","2.5","0.9","0.5","0.5","0.9","13.4","11.8","14.3","5.1","100.6","121"
"","Caris LeVert","Cle","G","30.4","35","24.1","18.3","14.5","83","0.699","139","0.525","138","0.42","0.578","0.603","10.8","2.9","3.8","0.9","0.5","1.3","13.7","14.6","17.5","8.2","120.7","110.8"
"","Ochai Agbaji","Tor","G","24.8","39","28.9","13.9","8.3","28","0.679","175","0.6","154","0.403","0.602","0.608","10.6","3.8","1.7","0.8","0.5","0.8","14.4","12.4","16.1","5.7","119.5","116.1"
"","Brandon Boston Jr.","Nor","G","23.2","39","23.8","19.7","12","79","0.81","221","0.489","130","0.346","0.5","0.538","10.6","3.2","2.3","1.2","0.2","1.2","13.9","12.9","16.2","7.2","108.1","114.8"
"","Andrew Nembhard","Ind","G-F","25","28","28.3","17.6","17.2","70","0.743","174","0.511","67","0.328","0.506","0.545","10.6","3.3","5","1","0.1","1.8","13.9","15.5","18.8","7.9","110.1","112.3"
"","Amir Coffey","Lac","G-F","27.6","42","25.9","15.5","8.4","77","0.896","170","0.524","156","0.423","0.577","0.618","10.6","2.6","1.2","0.6","0.1","0.7","13.2","11.8","14.4","5","121.7","108.7"
"","Zaccharie Risacher","Atl","F","19.8","39","23.7","20.4","10.9","80","0.713","223","0.489","160","0.281","0.461","0.49","10.5","3.5","1.2","0.8","0.5","1.2","14","11.7","15.2","6","98.8","110.8"
"","Jaden McDaniels","Min","F","24.3","44","30.9","15.2","10.3","53","0.755","233","0.549","169","0.325","0.524","0.542","10.5","5.1","1.5","1.4","0.9","1","15.6","12","17.1","5.6","110.1","104.2"
"","Dennis Schroder","Gol","G","31.4","18","27.1","21","16.9","31","0.806","108","0.417","84","0.286","0.422","0.455","10.4","2","4.3","0.8","0.1","2.2","12.4","14.7","16.7","6.6","94.5","108.9"
"","Cam Whitmore","Hou","F","20.5","25","16.7","25.8","8.9","38","0.737","123","0.537","101","0.327","0.516","0.538","10.4","3.2","0.8","0.6","0.3","0.9","13.6","11.2","14.4","7.2","109.4","107"
"","Grant Williams","Cha","F","26.1","16","29.9","14.7","18.5","37","0.838","49","0.551","74","0.365","0.549","0.596","10.4","5.1","2.3","1.1","0.8","1.8","15.5","12.7","17.8","6.6","112.8","107.8"
"","Ty Jerome","Cle","G-F","27.5","40","17.9","22.4","13.4","69","0.884","168","0.565","130","0.423","0.596","0.633","10.4","2.3","3.3","1.2","0","1.2","12.7","13.7","16","9.6","126.4","106.4"
"","Dorian Finney-Smith","Bro","F","31.7","20","29","14.2","10.2","24","0.625","51","0.51","108","0.435","0.607","0.613","10.4","4.6","1.6","0.9","0.6","0.9","15","12","16.5","5.9","119.6","111"
"","Guerschon Yabusele","Phi","F","29.1","40","25.8","16.1","14.3","76","0.684","139","0.626","154","0.409","0.619","0.636","10.4","5.3","1.9","0.7","0.4","1.2","15.7","12.3","17.6","7.3","122.8","108.6"
"","Herbert Jones","Nor","F","26.3","20","32.4","14.6","16.9","40","0.825","100","0.53","72","0.306","0.5","0.541","10.3","3.9","3.3","1.9","0.5","1.8","14.2","13.5","17.4","6.3","107.1","111.7"
"","Derrick Jones Jr.","Lac","F","27.9","41","24.5","16.9","10.6","54","0.796","216","0.593","114","0.36","0.574","0.596","10.3","3.4","0.9","1.2","0.3","1","13.7","11.1","14.5","5.2","114.9","104.6"
"","Brice Sensabaugh","Uta","F","21.2","32","18.5","22.4","16.5","33","0.939","100","0.57","152","0.395","0.583","0.61","10.2","2.8","1.4","0.5","0.1","1.6","13","11.6","14.4","7.4","109.4","114.8"
"","Nikola Jovic","Mia","F","21.6","33","23.3","18.7","11.8","68","0.838","123","0.528","137","0.365","0.538","0.581","10.2","3.9","2.8","0.8","0.3","1.1","14.1","13","16.8","8.3","116.6","108.9"
"","De'Anthony Melton","Gol","G","26.7","6","20.2","23.4","15.6","8","0.5","19","0.474","35","0.371","0.528","0.53","10.2","3.3","2.8","1.2","0.3","1.7","13.5","13","16.3","9","103.7","99.7"
"","Chris Boucher","Tor","F","32","38","17.3","21.7","7.5","70","0.786","140","0.636","145","0.352","0.581","0.611","10.2","4.4","0.7","0.6","0.6","0.6","14.6","10.8","15.3","7.3","121.4","112.5"
"","T.J. McConnell","Ind","G","32.8","42","19.1","24.1","14.8","46","0.739","337","0.552","25","0.28","0.543","0.559","10.2","2.5","4.5","1.2","0.3","1.5","12.7","14.6","17.2","10.2","112.8","112.5"
"","Rudy Gobert","Min","C","32.6","44","33","11.9","18.5","150","0.687","268","0.642","0","0","0.642","0.669","10.2","10.2","1.7","0.6","1.5","1.4","20.3","11.9","22","6.8","130.5","104.9"
"","Jalen Duren","Det","C","21.2","41","25.2","15.2","24","108","0.648","243","0.708","0","0","0.708","0.713","10.1","9.8","2.3","0.6","1.2","1.9","19.9","12.4","22.1","9.7","127.9","99.8"
"","Quentin Grimes","Dal","G","24.7","41","22.9","18.1","13.8","70","0.757","141","0.546","176","0.392","0.569","0.595","10.1","4","2.1","0.7","0.2","1.2","14.1","12.2","16.2","7.7","114.6","109.5"
"","Obi Toppin","Ind","F","26.9","40","19.4","19","8.6","56","0.804","154","0.708","133","0.346","0.62","0.643","10","4","1.6","0.8","0.4","0.7","14","11.7","15.6","8.2","124.9","109.7"
"","Svi Mykhailiuk","Uta","G-F","27.6","16","18.4","23.8","16.7","14","0.786","37","0.622","97","0.351","0.552","0.567","9.9","2.1","1.8","0.8","0.3","1.7","12.1","11.7","13.8","7.3","102.9","115"
"","Spencer Dinwiddie","Dal","G","31.8","42","24.7","17.8","11.6","123","0.862","165","0.442","170","0.324","0.464","0.536","9.9","2.5","3.6","0.9","0.2","1","12.4","13.5","16","7.2","115.2","111.6"
"","Tosan Evbuomwan","Bro","F","23.9","11","23.7","20.1","18.6","29","0.69","56","0.571","31","0.258","0.506","0.541","9.8","4.3","1.4","0.5","0.4","1.8","14.1","11.2","15.5","6.6","98.9","111.9"
"","Jose Alvarado","Nor","G","26.8","21","21.9","19.2","11.6","26","0.808","60","0.367","115","0.409","0.529","0.552","9.8","2","4","1.5","0.2","1.1","11.9","13.8","15.9","7.8","117.1","112.4"
"","Scotty Pippen Jr.","Mem","G","24.2","44","21.6","19.5","19","89","0.674","218","0.528","127","0.37","0.538","0.561","9.8","3.3","4.6","1.2","0.4","1.8","13.1","14.4","17.8","9.8","113.2","102.2"
"","Luguentz Dort","Okc","G","25.8","42","29.2","13.7","8.2","37","0.811","111","0.414","234","0.415","0.555","0.572","9.8","4.3","1.7","1.1","0.7","0.7","14.1","11.6","15.9","5.7","118","100.1"
"","Kevin Porter Jr.","Lac","G-F","24.7","38","20","26.5","17.5","71","0.634","261","0.487","97","0.247","0.455","0.477","9.8","3.4","3.4","1","0.3","2","13.2","13.1","16.6","9.7","95.2","103.3"
"","Julian Strawther","Den","G","22.8","43","22.1","17.4","9.7","64","0.859","149","0.523","178","0.382","0.55","0.584","9.7","2.2","1.4","0.7","0.3","0.8","11.8","11","13.2","5.6","113.5","107.2"
"","Nic Claxton","Bro","C","25.8","38","26.4","16.7","12.9","90","0.511","284","0.56","13","0.077","0.54","0.545","9.7","7.7","2","0.9","1.1","1.2","17.3","11.7","19.3","8","111.2","109.8"
"","Bogdan Bogdanovic","Atl","G","32.4","22","24.5","18.5","14.1","29","0.897","65","0.492","135","0.304","0.468","0.501","9.7","2.6","2.1","0.9","0.2","1.5","12.3","11.8","14.4","6.1","97.8","110.1"
"","Jaime Jaquez Jr.","Mia","G","23.9","38","23.7","19.7","17","98","0.735","217","0.493","80","0.325","0.492","0.535","9.6","4.8","2.7","1.3","0.2","1.6","14.4","12.3","17.1","8.4","106.7","107.1"
"","Aaron Wiggins","Okc","G","26.1","43","20.9","18.2","10.3","33","0.848","179","0.581","151","0.391","0.583","0.599","9.6","3.5","1.6","0.8","0.3","0.9","13.1","11.2","14.7","7.2","117.3","104.3"
"","Ziaire Williams","Bro","F","23.4","31","22.7","19.3","12.2","71","0.817","125","0.488","119","0.328","0.49","0.54","9.6","4.7","1.5","1","0.4","1.1","14.3","11","15.7","7.2","107.5","106.4"
"","Goga Bitadze","Orl","C-F","25.5","36","24.6","15.7","17.8","75","0.68","217","0.664","19","0.105","0.623","0.641","9.6","8.2","2.4","0.9","1.6","1.4","17.8","12","20.2","9.3","123.8","99.9"
"","Chris Paul","San","G","39.7","41","29.2","14.5","17.7","61","0.967","115","0.513","197","0.365","0.535","0.58","9.6","4.2","8.2","1.3","0.2","1.6","13.8","17.8","22","9.5","127.1","110"
"","Luke Kennard","Mem","G","28.6","31","21.6","14.8","12.5","38","0.895","61","0.459","142","0.479","0.64","0.669","9.5","3.1","3.2","0.6","0.1","0.9","12.6","12.7","15.8","8.4","134","112.2"
"","Toumani Camara","Por","F","24.7","41","31.2","14.1","15","58","0.724","168","0.512","177","0.333","0.506","0.528","9.5","5.4","2","1.4","0.6","1.5","15","11.5","17","6","107.6","112.4"
"","Aaron Nesmith","Ind","G-F","25.3","8","19.5","15.8","9.9","16","0.875","28","0.571","17","0.588","0.689","0.73","9.5","3.4","0.8","0.5","0.3","0.6","12.9","10.3","13.6","6.1","134.5","101.6"
"","Gary Trent Jr.","Mil","G","26","36","24.5","15.3","7.4","32","0.906","97","0.454","177","0.424","0.571","0.594","9.5","2.3","0.9","1.1","0.1","0.6","11.8","10.4","12.7","4.4","112.7","106.8"
"","Royce O'Neale","Pho","F","31.6","37","25.3","16.1","12.3","22","0.773","85","0.471","206","0.413","0.576","0.585","9.5","5.4","2.1","0.9","0.5","1.1","14.9","11.6","17.1","7.5","112.5","108.7"
"","Larry Nance Jr.","Atl","F-C","32.1","15","19.4","15.2","10.4","8","0.875","44","0.659","50","0.52","0.723","0.733","9.5","4.3","1.6","1.1","0.7","0.7","13.8","11.1","15.4","8.3","135.5","108.4"
"","Clint Capela","Atl","C","30.7","43","22.7","16.5","11.4","82","0.549","318","0.572","0","0","0.572","0.578","9.5","9","1.2","0.6","1","1","18.5","10.7","19.7","8.2","119.1","106.6"
"","Noah Clowney","Bro","F-C","20.5","35","23","18.5","11.5","58","0.845","85","0.435","193","0.358","0.505","0.544","9.4","4","0.9","0.5","0.5","1","13.4","10.3","14.3","5.6","105.2","109.3"
"","Patrick Williams","Chi","F","23.4","34","26.6","16.5","13.6","47","0.83","133","0.398","158","0.367","0.481","0.512","9.4","3.9","2.2","0.8","0.6","1.4","13.2","11.6","15.4","6.5","100.1","115.4"
"","Kentavious Caldwell-Pope","Orl","G","31.9","43","30.5","13.3","10.4","57","0.912","125","0.592","211","0.318","0.519","0.555","9.3","1.9","2","1.6","0.6","0.9","11.3","11.3","13.3","4.3","111.1","107.5"
"","Zach Edey","Mem","C","22.7","30","20.5","17.4","18.8","56","0.625","170","0.612","29","0.379","0.606","0.617","9.2","7.2","0.9","0.6","1","1.5","16.4","10.1","17.3","7.6","115.8","99.3"
"","Anthony Black","Orl","G","21","41","24.6","20","21","124","0.75","225","0.476","98","0.245","0.443","0.502","9.2","2.8","3.5","1","0.6","2.1","12","12.8","15.5","7.3","98.4","103.7"
"","Jalen Wilson","Bro","F","24.2","44","27","16.3","12.2","79","0.848","160","0.488","198","0.308","0.473","0.517","9.2","3.4","1.8","0.5","0","1.1","12.6","11","14.4","5.7","104.5","113.4"
"","Miles McBride","Nyk","G","24.4","35","23.5","16.7","9","38","0.816","111","0.486","160","0.381","0.537","0.56","9.2","2.5","2.9","0.8","0.2","0.8","11.7","12.1","14.5","6.9","120","112.2"
"","Isaiah Joe","Okc","G","25.6","40","20.6","17.4","5.8","20","0.75","67","0.552","240","0.388","0.575","0.583","9.2","2.5","1.4","0.8","0.2","0.5","11.7","10.6","13.1","6.2","116.9","103.1"
"","Marcus Smart","Mem","G","30.9","18","21.2","20","19.3","36","0.833","55","0.436","87","0.333","0.475","0.523","9.2","2.3","3.8","1.3","0.3","1.9","11.5","13","15.3","8.1","106.8","107.5"
"","Yves Missi","Nor","C","20.7","41","27.1","13.7","15.8","118","0.661","260","0.565","1","0","0.563","0.594","9.1","8.2","1.4","0.6","1.4","1.2","17.2","10.5","18.7","7","121.6","112.9"
"","Dalton Knecht","Lal","F","23.8","41","21","17.6","6.2","52","0.808","118","0.619","182","0.341","0.553","0.579","9.1","3.2","1","0.4","0.1","0.5","12.3","10.1","13.3","5.9","115.5","113.3"
"","Dereck Lively II","Dal","C","20.9","32","24","13.7","18","69","0.638","177","0.701","0","0","0.701","0.704","9.1","7.8","2.6","0.5","1.7","1.2","17","11.8","19.6","9.5","138.1","102.1"
"","Caleb Martin","Phi","F","29.3","31","30.4","14.4","15.6","74","0.622","145","0.469","87","0.379","0.506","0.531","9.1","4.4","2.3","1.1","0.6","1.4","13.5","11.3","15.7","5.9","106.7","112.7"
"","Dalano Banton","Por","F","25.2","34","16","26.2","14.5","68","0.691","153","0.444","113","0.363","0.487","0.517","9","2.1","2.3","0.8","0.5","1.3","11.1","11.3","13.4","8.8","103.6","116"
"","Keon Johnson","Bro","G","22.9","43","22","21.2","12.7","54","0.759","177","0.452","200","0.3","0.451","0.475","8.9","3.3","1.7","0.8","0.3","1.3","12.1","10.6","13.8","6.7","94.3","108.2"
"","Nick Richards","Cha","C","27.2","21","21","17.7","22.4","87","0.678","113","0.566","1","0","0.561","0.614","8.9","7.5","1.3","0.3","1.2","1.6","16.4","10.2","17.8","8.4","115.9","104.2"
"","Carlton Carrington","Was","G","19.5","42","30","14.1","15.8","38","0.789","156","0.468","190","0.342","0.493","0.511","8.8","4.2","3.9","0.8","0.2","1.5","13.1","12.8","17","7","102.7","116.2"
"","Justin Champagnie","Was","G-F","23.6","24","21.2","15.4","12.3","23","0.652","81","0.617","75","0.413","0.619","0.626","8.7","5.1","1","1.1","0.6","0.9","13.8","9.7","14.8","6.7","118.7","112.1"
"","Tristan da Silva","Orl","F","23.7","41","26.1","15.6","10.4","40","0.825","166","0.506","161","0.311","0.486","0.509","8.6","4.1","1.8","0.4","0.2","0.9","12.7","10.3","14.4","6.1","106.1","108.7"
"","Jay Huff","Mem","C","27.4","39","14.2","19.6","10.7","48","0.771","76","0.737","148","0.419","0.665","0.683","8.6","2.4","0.7","0.3","1","0.7","11","9.3","11.7","6.9","125.9","104.2"
"","Wendell Carter Jr.","Orl","C-F","25.8","32","25.4","15.7","11.1","94","0.691","147","0.565","77","0.195","0.471","0.52","8.6","7.3","2.2","0.8","0.6","0.9","15.9","10.8","18.1","8.1","113.5","98.9"
"","Jusuf Nurkic","Pho","C","30.4","25","23.7","18.7","25.9","69","0.696","104","0.529","59","0.322","0.512","0.556","8.6","9.2","1.9","0.9","0.6","2.3","17.8","10.5","19.6","9","100.7","99.3"
"","Peyton Watson","Den","G","22.4","43","24.3","14.4","12.4","95","0.768","185","0.541","90","0.344","0.533","0.578","8.5","3.4","1.4","0.8","1.2","0.9","11.9","10","13.3","5.7","114.4","110.4"
"","Georges Niang","Cle","F","31.6","43","20.2","16.9","12.8","19","0.789","108","0.62","184","0.391","0.599","0.608","8.5","3.8","1.4","0.3","0.1","1","12.3","9.9","13.7","7.1","113.7","103.8"
"","Jaylen Nowell","Nor","G","25.5","8","21","21.5","9.8","11","0.636","46","0.391","27","0.296","0.411","0.43","8.4","2.5","2.3","0.1","0.5","1","10.9","10.6","13.1","6.9","94","119.9"
"","Trayce Jackson-Davis","Gol","F","24.9","42","20.4","16.7","12.8","80","0.6","265","0.577","1","0","0.575","0.588","8.4","6.5","2.2","0.5","0.8","0.9","15","10.6","17.1","9.7","122.8","107.9"
"","Cole Anthony","Orl","G","24.7","41","16.2","26.8","16.8","68","0.765","194","0.469","122","0.303","0.464","0.499","8.4","2.8","2.7","0.6","0.3","1.6","11.2","11.1","14","9.9","99.2","99.6"
"","Garrison Mathews","Atl","G","28.2","34","18.5","16.1","10","67","0.821","30","0.467","168","0.405","0.586","0.631","8.4","1.7","1.5","0.7","0.3","0.6","10.1","9.9","11.6","6","124.3","110.5"
"","Kevin Huerter","Sac","G-F","26.4","39","22.2","17","10.5","27","0.704","102","0.637","196","0.301","0.515","0.526","8.4","3","1.8","0.9","0.4","0.9","11.4","10.2","13.2","6.4","105.3","108.6"
"","Draymond Green","Gol","F","34.9","34","27.8","15.7","25.8","65","0.615","114","0.474","127","0.362","0.51","0.53","8.4","6","5.5","1","1.1","2.5","14.4","13.9","19.9","9.4","104.9","103.2"
"","Al Horford","Bos","C-F","38.6","34","27.1","13","9.6","12","0.833","65","0.585","179","0.369","0.561","0.57","8.4","5.3","2.1","0.7","0.9","0.8","13.6","10.4","15.7","6.7","118.9","107.7"
"","Trendon Watford","Bro","G-F","24.2","13","16","23.2","16.8","35","0.857","53","0.509","26","0.308","0.494","0.572","8.3","2.8","1.2","0.4","0.3","1.2","11.1","9.5","12.2","7.6","105.7","104.2"
"","Max Christie","Lal","G","22","40","24.2","14.3","11.5","81","0.852","114","0.535","132","0.356","0.535","0.589","8.3","2.5","1.3","0.9","0.5","0.8","10.8","9.6","12.1","5","115.6","113.6"
"","Nickeil Alexander-Walker","Min","G","26.4","44","23","16","15.7","46","0.696","123","0.512","171","0.404","0.566","0.581","8.3","2.8","2.4","0.6","0.3","1.3","11.1","10.7","13.5","6.6","111.7","108.6"
"","Tyrese Martin","Bro","F","25.9","29","21.1","19.4","14.7","26","0.654","90","0.467","131","0.351","0.502","0.514","8.2","3.9","1.8","0.4","0.2","1.3","12.1","10.1","14","7.3","100.4","115.8"
"","Moses Moody","Gol","G","22.7","36","17.4","19.1","9.8","47","0.745","92","0.489","146","0.39","0.548","0.572","8.2","1.9","1","0.5","0.3","0.7","10.2","9.2","11.2","5.7","111","110.5"
"","Jalen Smith","Chi","F-C","24.9","40","15.2","20.9","9.4","61","0.82","116","0.621","134","0.328","0.552","0.589","8.2","5.4","0.9","0.3","0.7","0.7","13.5","9","14.4","9","118.4","106.5"
"","Ausar Thompson","Det","G-F","22","22","19.2","19.6","16.8","38","0.553","118","0.576","30","0.233","0.53","0.54","8.1","4.7","1.6","1.5","0.4","1.4","12.8","9.7","14.5","8.2","105.2","99"
"","Jaden Hardy","Dal","G","22.6","34","15.9","24.1","17.6","46","0.739","125","0.456","109","0.394","0.519","0.545","8.1","1.6","1.4","0.6","0.1","1.5","9.7","9.6","11.1","6.6","98.2","107.4"
"","Cody Martin","Cha","F","29.3","38","25.3","14.4","13.7","49","0.694","142","0.535","123","0.325","0.513","0.534","8.1","4.6","2.3","1.1","0.7","1.1","12.7","10.4","15","7","110.3","109.5"
"","Mike Conley","Min","G","37.3","40","24.5","15.3","13.8","56","0.893","89","0.337","186","0.382","0.496","0.539","8.1","2.7","4.3","1.3","0.2","1.1","10.8","12.4","15.1","7.4","118.6","108.6"
"","Bruce Brown","Tor","G-F","28.4","10","18.9","19.2","11.2","14","0.786","52","0.462","19","0.368","0.486","0.518","8","3.6","1.3","0.7","0.2","0.9","11.6","9.3","12.9","7.1","106","113.4"
"","Brandin Podziemski","Gol","G","21.9","30","24.2","15.8","11.5","30","0.733","125","0.496","105","0.295","0.472","0.491","8","4.5","3.2","1","0.2","1","12.5","11.2","15.7","8","108.6","109.6"
"","A.J. Green","Mil","G","25.3","38","21.8","13.4","8.5","14","0.857","27","0.481","199","0.442","0.642","0.65","7.9","2.3","1.3","0.5","0.1","0.6","10.3","9.2","11.6","5.3","122.5","105.8"
"","Jake LaRavia","Mem","F","23.2","42","21.8","14.5","21.7","90","0.711","143","0.524","87","0.437","0.574","0.608","7.8","4.4","3.1","0.9","0.5","1.5","12.2","10.9","15.3","8.7","118.5","105.1"
"","Day'Ron Sharpe","Bro","C","23.2","23","17.4","21.8","16.6","43","0.721","124","0.548","26","0.115","0.483","0.521","7.7","6.3","1.5","0.7","0.5","1.3","14","9.1","15.4","9.6","108.9","105.5"
"","Kel'el Ware","Mia","C","20.8","27","14.9","19.5","7.9","29","0.724","111","0.631","41","0.39","0.618","0.634","7.7","4.4","0.6","0.4","1","0.5","12.1","8.3","12.7","7.3","122.6","105.2"
"","Keon Ellis","Sac","G","25","41","21.4","12.9","13.1","50","0.86","61","0.574","150","0.447","0.642","0.674","7.7","2.4","1.2","1.4","0.8","0.8","10","8.8","11.2","5.3","126.3","107.2"
"","Kyshawn George","Was","F","21.1","37","25.6","15","13.8","50","0.76","85","0.506","190","0.279","0.445","0.476","7.6","3.8","2.3","0.8","0.6","1.2","11.4","9.9","13.7","6.3","98.3","112.6"
"","Cason Wallace","Okc","G","21.2","42","27.8","11.8","8.9","18","0.778","161","0.547","126","0.341","0.531","0.541","7.6","3.5","2.5","1.7","0.6","0.7","11.1","10.1","13.6","5.8","116.7","102.3"
"","Sam Hauser","Bos","F","27.1","37","20.4","14.2","4.8","2","1","35","0.714","200","0.38","0.591","0.594","7.6","3","1.1","0.8","0.2","0.3","10.6","8.6","11.6","5.7","123","108.8"
"","Brandon Clarke","Mem","F","28.3","41","18.5","14.1","9.3","49","0.673","209","0.656","16","0.063","0.616","0.629","7.6","4.9","1","0.8","0.5","0.6","12.5","8.6","13.5","7.2","128.5","99.9"
"","Max Strus","Cle","G-F","28.8","15","23.1","14.6","14.6","5","0.8","18","0.5","81","0.37","0.545","0.553","7.5","3.5","3","0.4","0.3","1.1","10.9","10.5","13.9","7.4","113.9","109.3"
"","Ryan Dunn","Pho","F","22","39","20.5","15.8","5.8","19","0.474","123","0.61","139","0.317","0.538","0.538","7.5","3.5","0.9","0.5","0.7","0.4","10.9","8.4","11.9","5.6","110.9","107.8"
"","Shake Milton","Bro","G","28.3","27","18.2","17.1","11.3","33","0.758","85","0.529","72","0.389","0.554","0.58","7.4","1.9","2.4","0.6","0","0.7","9.3","9.7","11.6","7.1","119.1","112.7"
"","Cameron Payne","Nyk","G","30.5","39","14.7","20.8","9.9","25","0.88","90","0.467","145","0.421","0.568","0.587","7.4","1.4","2.5","0.6","0.3","0.7","8.8","9.9","11.4","8.1","122.2","105.3"
"","Johnny Juzang","Uta","G","23.9","32","17.8","15.8","7.8","25","0.88","54","0.463","135","0.4","0.561","0.585","7.3","2.8","1","0.4","0.2","0.5","10.1","8.3","11.1","6.1","120.2","111.6"
