"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jalen Pickett","Den","G","25.3","17","7.7","14.3","15.8","1","1","16","0.625","21","0.429","0.635","0.641","2.8","0.9","1.6","0.1","0.1","0.4","3.7","4.4","5.3","8.3","127.7","111.6"
"","Steven Adams","Hou","C","31.5","29","11.2","12.8","34.1","44","0.364","54","0.593","0","0","0.593","0.545","2.8","4.9","1.1","0.2","0.4","1","7.7","3.9","8.8","8.8","108.8","101.7"
"","Reece Beekman","Bro","G","23.3","14","11.1","14.4","16.6","7","0.571","25","0.44","15","0.267","0.425","0.441","2.7","0.8","1.4","0.5","0.1","0.6","3.5","4.1","4.9","5.2","95.1","118"
"","Olivier-Maxence Prosper","Dal","F","22.6","33","8.2","15.9","8","33","0.606","53","0.472","27","0.222","0.425","0.466","2.7","2.2","0.6","0.3","0.1","0.2","4.8","3.2","5.4","7.5","109.9","109.5"
"","Adem Bona","Phi","F","21.8","27","9.9","11","31.9","31","0.645","36","0.722","0","0","0.722","0.725","2.7","2.5","0.3","0.1","0.7","0.6","5.1","2.9","5.4","5.1","120","100"
"","Nate Williams","Hou","G","25.9","6","3.5","19.6","10","0","0","5","1","4","0.5","0.889","0.889","2.7","0.5","0.2","0.3","0.2","0.2","3.2","2.8","3.3","7.4","0","0"
"","Landry Shamet","Nyk","G","27.9","14","11","12.7","11.3","2","0.5","19","0.632","20","0.2","0.462","0.464","2.6","0.7","0.4","0.5","0.1","0.4","3.4","3.1","3.8","3.3","93.1","112.2"
"","Richaun Holmes","Was","F","31.3","7","8.5","14.8","10.3","5","0.8","16","0.438","1","0","0.412","0.469","2.6","2.9","0.1","0","0.6","0.3","5.4","2.7","5.6","4.3","103.6","114.7"
"","Johnny Davis","Was","G","22.9","29","7.4","15.6","6.6","11","0.636","43","0.535","27","0.259","0.479","0.494","2.6","1.1","0.3","0.4","0.2","0.2","3.7","2.9","4","5.1","102","115.2"
"","Delon Wright","Mil","G","32.7","25","15.3","11.2","15.2","14","0.571","32","0.313","46","0.261","0.359","0.38","2.6","1.7","1.8","0.8","0.3","0.6","4.3","4.4","6.1","5.2","95.9","110.6"
"","E.J. Liddell","Chi","F","24.1","6","5.1","14.9","19.2","2","1","2","1","6","0.5","0.813","0.845","2.5","0.8","0.5","0.2","0","0.3","3.3","3","3.8","7.8","138.3","92.4"
"","Craig Porter","Cle","G","24.9","25","7.7","12.5","20.6","8","0.75","29","0.621","13","0.538","0.679","0.692","2.5","0.8","1.1","0.2","0.3","0.4","3.3","3.6","4.4","6.8","125.8","112"
"","Collin Gillespie","Pho","G","25.6","2","3.2","20.7","0","0","0","2","0.5","1","1","0.833","0.833","2.5","0.5","0","0","0","0","3","2.5","3","0","0","0"
"","Pat Spencer","Gol","G","28.6","17","7.1","20.1","18.8","10","0.7","33","0.455","10","0.2","0.419","0.454","2.5","1.3","1.6","0.5","0.1","0.6","3.8","4.1","5.4","9.8","102.9","109.4"
"","Taj Gibson","Cha","F","39.6","16","10.4","11.8","20.8","8","0.625","32","0.469","2","0.5","0.485","0.506","2.4","2.9","0.4","0.4","0.3","0.6","5.3","2.8","5.7","5.4","104.4","104.6"
"","Trey Jemison","Nor","C","25.2","16","10.4","13","23.7","21","0.381","32","0.469","0","0","0.469","0.461","2.4","2.8","0.6","0.4","0.4","0.6","5.1","3","5.8","6.1","98.7","104.3"
"","Duop Reath","Por","C","28.6","20","6","17.5","8.5","8","0.75","11","0.545","32","0.313","0.488","0.516","2.4","1","0.3","0","0.1","0.2","3.4","2.7","3.7","6","110.1","111.9"
"","Lester Quinones","Phi","G","24.2","4","4.3","32.3","32.2","1","1","5","0.8","3","0","0.5","0.533","2.3","1","0.3","0","0","1","3.3","2.5","3.5","8.2","83.8","123.7"
